date,purchases,invoices,streams,views,revenue,year_month
2017-11-28,86,3,83,545,375.99000000000007,2017-11
2017-11-29,0,0,0,0,0.0,2017-11
2017-11-30,33,1,33,192,194.22,2017-11
2017-12-01,0,0,0,0,0.0,2017-12
2017-12-02,0,0,0,0,0.0,2017-12
2017-12-03,0,0,0,0,0.0,2017-12
2017-12-04,64,4,61,403,484.65000000000003,2017-12
2017-12-05,30,5,30,255,97.35000000000001,2017-12
2017-12-06,0,0,0,0,0.0,2017-12
2017-12-07,19,1,19,104,133.31,2017-12
2017-12-08,2,2,2,7,20.9,2017-12
2017-12-09,0,0,0,0,0.0,2017-12
2017-12-10,14,1,14,126,96.24000000000001,2017-12
2017-12-11,5,1,5,7,17.7,2017-12
2017-12-12,100,2,89,733,435.58000000000004,2017-12
2017-12-13,49,1,49,359,153.41,2017-12
2017-12-14,2,2,1,1,1606.5,2017-12
2017-12-15,156,5,134,1132,733.6,2017-12
2017-12-16,0,0,0,0,0.0,2017-12
2017-12-17,1,1,1,0,5.95,2017-12
2017-12-18,35,1,35,408,77.69000000000001,2017-12
2017-12-19,0,0,0,0,0.0,2017-12
2017-12-20,0,0,0,0,0.0,2017-12
2017-12-21,0,0,0,0,0.0,2017-12
2017-12-22,0,0,0,0,0.0,2017-12
2017-12-23,0,0,0,0,0.0,2017-12
2017-12-24,0,0,0,0,0.0,2017-12
2017-12-25,0,0,0,0,0.0,2017-12
2017-12-26,0,0,0,0,0.0,2017-12
2017-12-27,0,0,0,0,0.0,2017-12
2017-12-28,0,0,0,0,0.0,2017-12
2017-12-29,0,0,0,0,0.0,2017-12
2017-12-30,0,0,0,0,0.0,2017-12
2017-12-31,0,0,0,0,0.0,2017-12
2018-01-01,2,1,2,4,14.0,2018-01
2018-01-02,0,0,0,0,0.0,2018-01
2018-01-03,0,0,0,0,0.0,2018-01
2018-01-04,163,5,158,1826,466.54999999999995,2018-01
2018-01-05,33,4,31,260,2463.67,2018-01
2018-01-06,0,0,0,0,0.0,2018-01
2018-01-07,0,0,0,0,0.0,2018-01
2018-01-08,1,1,1,8,10.95,2018-01
2018-01-09,0,0,0,0,0.0,2018-01
2018-01-10,3,3,1,9,1874.42,2018-01
2018-01-11,0,0,0,0,0.0,2018-01
2018-01-12,0,0,0,0,0.0,2018-01
2018-01-13,0,0,0,0,0.0,2018-01
2018-01-14,0,0,0,0,0.0,2018-01
2018-01-15,0,0,0,0,0.0,2018-01
2018-01-16,49,1,49,320,209.51999999999998,2018-01
2018-01-17,8,5,6,41,2277.02,2018-01
2018-01-18,74,1,74,759,247.63,2018-01
2018-01-19,124,6,118,930,3644.49,2018-01
2018-01-20,0,0,0,0,0.0,2018-01
2018-01-21,0,0,0,0,0.0,2018-01
2018-01-22,23,1,23,172,146.11999999999995,2018-01
2018-01-23,14,14,1,13,1682.47,2018-01
2018-01-24,0,0,0,0,0.0,2018-01
2018-01-25,62,1,62,524,182.52,2018-01
2018-01-26,0,0,0,0,0.0,2018-01
2018-01-27,0,0,0,0,0.0,2018-01
2018-01-28,24,1,24,254,60.800000000000004,2018-01
2018-01-29,0,0,0,0,0.0,2018-01
2018-01-30,107,5,100,999,1545.5800000000002,2018-01
2018-01-31,0,0,0,0,0.0,2018-01
2018-02-01,0,0,0,0,0.0,2018-02
2018-02-02,0,0,0,0,0.0,2018-02
2018-02-03,0,0,0,0,0.0,2018-02
2018-02-04,34,1,34,436,65.28,2018-02
2018-02-05,23,3,22,132,865.3000000000001,2018-02
2018-02-06,0,0,0,0,0.0,2018-02
2018-02-07,0,0,0,0,0.0,2018-02
2018-02-08,0,0,0,0,0.0,2018-02
2018-02-09,0,0,0,0,0.0,2018-02
2018-02-10,0,0,0,0,0.0,2018-02
2018-02-11,22,1,22,215,89.69,2018-02
2018-02-12,10,2,10,40,28.77,2018-02
2018-02-13,53,2,53,241,138.17999999999998,2018-02
2018-02-14,101,3,99,909,386.04999999999995,2018-02
2018-02-15,2,2,2,5,11.549999999999999,2018-02
2018-02-16,0,0,0,0,0.0,2018-02
2018-02-17,0,0,0,0,0.0,2018-02
2018-02-18,39,1,39,295,178.85,2018-02
2018-02-19,11,1,11,132,61.19,2018-02
2018-02-20,0,0,0,0,0.0,2018-02
2018-02-21,120,4,113,907,427.77000000000004,2018-02
2018-02-22,0,0,0,0,0.0,2018-02
2018-02-23,0,0,0,0,0.0,2018-02
2018-02-24,0,0,0,0,0.0,2018-02
2018-02-25,0,0,0,0,0.0,2018-02
2018-02-26,0,0,0,0,0.0,2018-02
2018-02-27,0,0,0,0,0.0,2018-02
2018-02-28,103,5,96,1088,271.16,2018-02
2018-03-01,67,2,62,530,297.8400000000001,2018-03
2018-03-02,17,2,17,179,11.13,2018-03
2018-03-03,0,0,0,0,0.0,2018-03
2018-03-04,0,0,0,0,0.0,2018-03
2018-03-05,0,0,0,0,0.0,2018-03
2018-03-06,6,2,6,14,69.25,2018-03
2018-03-07,36,2,36,202,189.01,2018-03
2018-03-08,0,0,0,0,0.0,2018-03
2018-03-09,36,1,36,316,174.56,2018-03
2018-03-10,0,0,0,0,0.0,2018-03
2018-03-11,0,0,0,0,0.0,2018-03
2018-03-12,71,2,70,495,281.16999999999996,2018-03
2018-03-13,1,1,1,4,3.75,2018-03
2018-03-14,19,1,19,112,113.53,2018-03
2018-03-15,42,2,42,328,215.43999999999997,2018-03
2018-03-16,58,1,58,415,260.51,2018-03
2018-03-17,0,0,0,0,0.0,2018-03
2018-03-18,0,0,0,0,0.0,2018-03
2018-03-19,33,1,33,315,90.57,2018-03
2018-03-20,16,1,16,100,107.75,2018-03
2018-03-21,31,9,27,122,1972.28,2018-03
2018-03-22,91,2,81,543,369.53000000000003,2018-03
2018-03-23,31,1,31,222,164.94999999999996,2018-03
2018-03-24,0,0,0,0,0.0,2018-03
2018-03-25,0,0,0,0,0.0,2018-03
2018-03-26,0,0,0,0,0.0,2018-03
2018-03-27,81,3,81,559,365.57,2018-03
2018-03-28,0,0,0,0,0.0,2018-03
2018-03-29,0,0,0,0,0.0,2018-03
2018-03-30,0,0,0,0,0.0,2018-03
2018-03-31,0,0,0,0,0.0,2018-03
2018-04-01,0,0,0,0,0.0,2018-04
2018-04-02,0,0,0,0,0.0,2018-04
2018-04-03,0,0,0,0,0.0,2018-04
2018-04-04,15,1,15,122,74.54000000000002,2018-04
2018-04-05,0,0,0,0,0.0,2018-04
2018-04-06,0,0,0,0,0.0,2018-04
2018-04-07,0,0,0,0,0.0,2018-04
2018-04-08,0,0,0,0,0.0,2018-04
2018-04-09,51,3,51,521,153.23999999999998,2018-04
2018-04-10,42,3,42,516,98.62,2018-04
2018-04-11,53,1,53,526,130.95999999999998,2018-04
2018-04-12,0,0,0,0,0.0,2018-04
2018-04-13,0,0,0,0,0.0,2018-04
2018-04-14,0,0,0,0,0.0,2018-04
2018-04-15,0,0,0,0,0.0,2018-04
2018-04-16,101,3,94,906,384.05000000000007,2018-04
2018-04-17,36,1,36,288,154.41000000000003,2018-04
2018-04-18,0,0,0,0,0.0,2018-04
2018-04-19,63,3,61,553,245.87999999999997,2018-04
2018-04-20,0,0,0,0,0.0,2018-04
2018-04-21,0,0,0,0,0.0,2018-04
2018-04-22,40,1,40,250,197.45,2018-04
2018-04-23,103,4,99,909,1057.49,2018-04
2018-04-24,1,1,1,2,12.75,2018-04
2018-04-25,0,0,0,0,0.0,2018-04
2018-04-26,79,2,78,620,321.0299999999999,2018-04
2018-04-27,51,2,45,421,100.75999999999999,2018-04
2018-04-28,0,0,0,0,0.0,2018-04
2018-04-29,42,1,42,385,111.36999999999999,2018-04
2018-04-30,0,0,0,0,0.0,2018-04
2018-05-01,68,5,67,560,685.34,2018-05
2018-05-02,0,0,0,0,0.0,2018-05
2018-05-03,196,2,182,1355,671.12,2018-05
