date,purchases,invoices,streams,views,revenue,year_month
2017-11-28,44,1,44,367,139.03,2017-11
2017-11-29,2,1,2,5,4.6,2017-11
2017-11-30,3,1,3,2,12.850000000000001,2017-11
2017-12-01,0,0,0,0,0.0,2017-12
2017-12-02,0,0,0,0,0.0,2017-12
2017-12-03,13,1,13,98,49.2,2017-12
2017-12-04,44,3,39,444,151.98,2017-12
2017-12-05,0,0,0,0,0.0,2017-12
2017-12-06,44,4,41,422,376.70000000000005,2017-12
2017-12-07,0,0,0,0,0.0,2017-12
2017-12-08,5,2,5,13,13.350000000000001,2017-12
2017-12-09,0,0,0,0,0.0,2017-12
2017-12-10,4,1,4,34,30.32,2017-12
2017-12-11,190,6,143,1724,489.39,2017-12
2017-12-12,0,0,0,0,0.0,2017-12
2017-12-13,0,0,0,0,0.0,2017-12
2017-12-14,1,1,1,1,3.25,2017-12
2017-12-15,23,5,21,109,105.39,2017-12
2017-12-16,0,0,0,0,0.0,2017-12
2017-12-17,17,1,17,134,66.0,2017-12
2017-12-18,25,1,25,273,76.67999999999999,2017-12
2017-12-19,0,0,0,0,0.0,2017-12
2017-12-20,5,1,5,10,7.049999999999999,2017-12
2017-12-21,0,0,0,0,0.0,2017-12
2017-12-22,0,0,0,0,0.0,2017-12
2017-12-23,0,0,0,0,0.0,2017-12
2017-12-24,0,0,0,0,0.0,2017-12
2017-12-25,0,0,0,0,0.0,2017-12
2017-12-26,0,0,0,0,0.0,2017-12
2017-12-27,0,0,0,0,0.0,2017-12
2017-12-28,0,0,0,0,0.0,2017-12
2017-12-29,0,0,0,0,0.0,2017-12
2017-12-30,0,0,0,0,0.0,2017-12
2017-12-31,0,0,0,0,0.0,2017-12
2018-01-01,3,1,3,8,16.29,2018-01
2018-01-02,0,0,0,0,0.0,2018-01
2018-01-03,0,0,0,0,0.0,2018-01
2018-01-04,14,2,14,66,47.55,2018-01
2018-01-05,0,0,0,0,0.0,2018-01
2018-01-06,0,0,0,0,0.0,2018-01
2018-01-07,0,0,0,0,0.0,2018-01
2018-01-08,34,4,33,213,111.49,2018-01
2018-01-09,89,4,80,871,259.45,2018-01
2018-01-10,40,2,40,347,144.57,2018-01
2018-01-11,47,3,46,334,154.91999999999996,2018-01
2018-01-12,8,2,8,26,23.27,2018-01
2018-01-13,0,0,0,0,0.0,2018-01
2018-01-14,0,0,0,0,0.0,2018-01
2018-01-15,2,1,2,6,6.7,2018-01
2018-01-16,2,1,2,4,3.6399999999999997,2018-01
2018-01-17,0,0,0,0,0.0,2018-01
2018-01-18,0,0,0,0,0.0,2018-01
2018-01-19,131,2,122,1161,352.31,2018-01
2018-01-20,0,0,0,0,0.0,2018-01
2018-01-21,40,1,40,332,104.07000000000001,2018-01
2018-01-22,11,1,11,22,34.7,2018-01
2018-01-23,86,12,76,841,408.53000000000003,2018-01
2018-01-24,0,0,0,0,0.0,2018-01
2018-01-25,9,3,9,20,32.75,2018-01
2018-01-26,0,0,0,0,0.0,2018-01
2018-01-27,0,0,0,0,0.0,2018-01
2018-01-28,99,1,99,757,288.78,2018-01
2018-01-29,39,2,38,365,126.26000000000002,2018-01
2018-01-30,1,1,1,3,0.85,2018-01
2018-01-31,4,2,4,30,5.299999999999999,2018-01
2018-02-01,17,2,17,152,48.38,2018-02
2018-02-02,47,2,45,173,154.82999999999998,2018-02
2018-02-03,0,0,0,0,0.0,2018-02
2018-02-04,7,1,7,43,43.1,2018-02
2018-02-05,60,3,54,490,212.97,2018-02
2018-02-06,90,5,78,780,277.81,2018-02
2018-02-07,15,1,15,126,53.260000000000005,2018-02
2018-02-08,17,3,17,138,41.8,2018-02
2018-02-09,48,3,48,427,103.82,2018-02
2018-02-10,0,0,0,0,0.0,2018-02
2018-02-11,0,0,0,0,0.0,2018-02
2018-02-12,50,2,49,321,161.71999999999997,2018-02
2018-02-13,3,1,3,6,10.85,2018-02
2018-02-14,2,1,2,4,1.7,2018-02
2018-02-15,10,1,10,102,20.560000000000002,2018-02
2018-02-16,0,0,0,0,0.0,2018-02
2018-02-17,0,0,0,0,0.0,2018-02
2018-02-18,0,0,0,0,0.0,2018-02
2018-02-19,1,1,1,2,3.75,2018-02
2018-02-20,26,7,25,157,79.64999999999999,2018-02
2018-02-21,0,0,0,0,0.0,2018-02
2018-02-22,10,2,9,64,70.58,2018-02
2018-02-23,0,0,0,0,0.0,2018-02
2018-02-24,0,0,0,0,0.0,2018-02
2018-02-25,36,2,32,290,127.3,2018-02
2018-02-26,0,0,0,0,0.0,2018-02
2018-02-27,17,2,17,118,71.40000000000002,2018-02
2018-02-28,29,3,28,180,87.22,2018-02
2018-03-01,0,0,0,0,0.0,2018-03
2018-03-02,31,3,29,311,127.99999999999997,2018-03
2018-03-03,0,0,0,0,0.0,2018-03
2018-03-04,127,2,125,1077,348.31999999999994,2018-03
2018-03-05,30,3,28,233,105.00999999999999,2018-03
2018-03-06,8,2,7,43,181.37,2018-03
2018-03-07,23,2,23,173,81.4,2018-03
2018-03-08,0,0,0,0,0.0,2018-03
2018-03-09,1,1,1,2,1.95,2018-03
2018-03-10,0,0,0,0,0.0,2018-03
2018-03-11,0,0,0,0,0.0,2018-03
2018-03-12,8,2,8,54,42.1,2018-03
2018-03-13,54,4,46,371,175.73,2018-03
2018-03-14,38,2,38,519,106.39999999999999,2018-03
2018-03-15,53,2,52,496,155.65999999999997,2018-03
2018-03-16,0,0,0,0,0.0,2018-03
2018-03-17,0,0,0,0,0.0,2018-03
2018-03-18,0,0,0,0,0.0,2018-03
2018-03-19,42,2,38,340,142.02999999999997,2018-03
2018-03-20,3,1,3,6,11.45,2018-03
2018-03-21,7,1,7,87,25.39,2018-03
2018-03-22,34,3,33,298,152.2,2018-03
2018-03-23,109,3,107,792,377.13000000000005,2018-03
2018-03-24,0,0,0,0,0.0,2018-03
2018-03-25,0,0,0,0,0.0,2018-03
2018-03-26,1,1,1,3,2.1,2018-03
2018-03-27,0,0,0,0,0.0,2018-03
2018-03-28,5,1,5,3,29.549999999999997,2018-03
2018-03-29,123,5,97,1048,361.7300000000001,2018-03
2018-03-30,0,0,0,0,0.0,2018-03
2018-03-31,0,0,0,0,0.0,2018-03
2018-04-01,0,0,0,0,0.0,2018-04
2018-04-02,0,0,0,0,0.0,2018-04
2018-04-03,0,0,0,0,0.0,2018-04
2018-04-04,32,1,32,302,79.95,2018-04
2018-04-05,38,2,35,125,72.35,2018-04
2018-04-06,81,2,74,733,213.89000000000004,2018-04
2018-04-07,0,0,0,0,0.0,2018-04
2018-04-08,59,2,59,730,120.31,2018-04
2018-04-09,47,3,47,415,431.64099999999996,2018-04
2018-04-10,0,0,0,0,0.0,2018-04
2018-04-11,36,2,36,312,120.09000000000002,2018-04
2018-04-12,19,1,19,192,41.96999999999999,2018-04
2018-04-13,21,1,21,131,94.07000000000001,2018-04
2018-04-14,0,0,0,0,0.0,2018-04
2018-04-15,0,0,0,0,0.0,2018-04
2018-04-16,25,1,25,252,49.83,2018-04
2018-04-17,40,3,37,268,154.34000000000003,2018-04
2018-04-18,58,2,57,659,183.82,2018-04
2018-04-19,55,4,50,465,164.92000000000002,2018-04
2018-04-20,10,2,10,25,49.69,2018-04
2018-04-21,0,0,0,0,0.0,2018-04
2018-04-22,36,1,36,305,101.19999999999999,2018-04
2018-04-23,71,3,62,710,245.23,2018-04
2018-04-24,0,0,0,0,0.0,2018-04
2018-04-25,16,1,16,111,81.6,2018-04
2018-04-26,3,1,3,6,14.850000000000001,2018-04
2018-04-27,19,1,19,151,84.05000000000001,2018-04
2018-04-28,0,0,0,0,0.0,2018-04
2018-04-29,10,1,10,96,48.449999999999996,2018-04
2018-04-30,0,0,0,0,0.0,2018-04
2018-05-01,8,2,8,15,35.4,2018-05
2018-05-02,22,1,22,209,63.040000000000006,2018-05
2018-05-03,48,2,48,463,182.81,2018-05
2018-05-04,0,0,0,0,0.0,2018-05
2018-05-05,0,0,0,0,0.0,2018-05
2018-05-06,0,0,0,0,0.0,2018-05
2018-05-07,3,1,3,11,16.15,2018-05
2018-05-08,7,1,7,49,58.540000000000006,2018-05
2018-05-09,34,1,34,297,88.60999999999999,2018-05
2018-05-10,19,1,19,176,62.24,2018-05
2018-05-11,9,3,9,23,25.62,2018-05
2018-05-12,0,0,0,0,0.0,2018-05
2018-05-13,0,0,0,0,0.0,2018-05
2018-05-14,29,1,29,256,104.22000000000001,2018-05
2018-05-15,16,2,16,120,83.05,2018-05
2018-05-16,1,1,1,4,10.95,2018-05
2018-05-17,21,2,21,121,83.02,2018-05
2018-05-18,76,2,75,558,301.10999999999996,2018-05
2018-05-19,0,0,0,0,0.0,2018-05
2018-05-20,16,1,16,137,47.75000000000001,2018-05
2018-05-21,14,1,14,139,35.38,2018-05
2018-05-22,0,0,0,0,0.0,2018-05
2018-05-23,3,2,3,8,20.5,2018-05
2018-05-24,10,2,10,73,60.95,2018-05
2018-05-25,37,2,35,337,88.38000000000001,2018-05
2018-05-26,0,0,0,0,0.0,2018-05
2018-05-27,0,0,0,0,0.0,2018-05
2018-05-28,0,0,0,0,0.0,2018-05
2018-05-29,24,2,24,129,101.39,2018-05
2018-05-30,0,0,0,0,0.0,2018-05
2018-05-31,0,0,0,0,0.0,2018-05
2018-06-01,30,1,30,294,78.78,2018-06
2018-06-02,0,0,0,0,0.0,2018-06
2018-06-03,20,1,20,279,44.900000000000006,2018-06
2018-06-04,100,6,90,825,364.35,2018-06
2018-06-05,22,4,22,203,358.15,2018-06
2018-06-06,0,0,0,0,0.0,2018-06
2018-06-07,15,1,15,136,35.32000000000001,2018-06
2018-06-08,0,0,0,0,0.0,2018-06
2018-06-09,0,0,0,0,0.0,2018-06
2018-06-10,23,2,23,147,76.32000000000002,2018-06
2018-06-11,0,0,0,0,0.0,2018-06
2018-06-12,103,2,102,1072,247.48999999999998,2018-06
2018-06-13,43,1,43,374,105.43,2018-06
2018-06-14,0,0,0,0,0.0,2018-06
2018-06-15,0,0,0,0,0.0,2018-06
2018-06-16,0,0,0,0,0.0,2018-06
2018-06-17,12,1,12,138,47.769999999999996,2018-06
2018-06-18,0,0,0,0,0.0,2018-06
2018-06-19,0,0,0,0,0.0,2018-06
2018-06-20,0,0,0,0,0.0,2018-06
2018-06-21,92,1,92,926,161.18999999999994,2018-06
2018-06-22,0,0,0,0,0.0,2018-06
2018-06-23,0,0,0,0,0.0,2018-06
2018-06-24,0,0,0,0,0.0,2018-06
2018-06-25,43,4,42,237,98.78,2018-06
2018-06-26,36,3,35,345,137.59999999999997,2018-06
2018-06-27,65,4,62,568,248.68,2018-06
2018-06-28,47,2,45,416,161.35999999999996,2018-06
2018-06-29,223,2,209,1823,771.57,2018-06
2018-06-30,0,0,0,0,0.0,2018-06
2018-07-01,0,0,0,0,0.0,2018-07
2018-07-02,37,3,36,253,159.80999999999995,2018-07
2018-07-03,53,3,52,249,256.8,2018-07
2018-07-04,21,1,21,236,42.79000000000001,2018-07
2018-07-05,81,8,46,779,2329.68,2018-07
2018-07-06,13,1,13,89,39.260000000000005,2018-07
2018-07-07,0,0,0,0,0.0,2018-07
2018-07-08,0,0,0,0,0.0,2018-07
2018-07-09,33,1,33,328,82.20999999999998,2018-07
2018-07-10,0,0,0,0,0.0,2018-07
2018-07-11,2,2,2,3,11.2,2018-07
2018-07-12,0,0,0,0,0.0,2018-07
2018-07-13,40,2,40,483,102.80999999999999,2018-07
