date,purchases,invoices,streams,views,revenue,year_month
2017-11-29,23,2,22,240,49.330000000000005,2017-11
2017-11-30,0,0,0,0,0.0,2017-11
2017-12-01,22,1,22,195,77.52000000000001,2017-12
2017-12-02,0,0,0,0,0.0,2017-12
2017-12-03,0,0,0,0,0.0,2017-12
2017-12-04,0,0,0,0,0.0,2017-12
2017-12-05,51,1,51,51,104.14999999999999,2017-12
2017-12-06,0,0,0,0,0.0,2017-12
2017-12-07,0,0,0,0,0.0,2017-12
2017-12-08,0,0,0,0,0.0,2017-12
2017-12-09,0,0,0,0,0.0,2017-12
2017-12-10,0,0,0,0,0.0,2017-12
2017-12-11,0,0,0,0,0.0,2017-12
2017-12-12,0,0,0,0,0.0,2017-12
2017-12-13,7,1,7,76,37.25,2017-12
2017-12-14,0,0,0,0,0.0,2017-12
2017-12-15,52,1,52,634,116.01,2017-12
2017-12-16,0,0,0,0,0.0,2017-12
2017-12-17,0,0,0,0,0.0,2017-12
2017-12-18,0,0,0,0,0.0,2017-12
2017-12-19,0,0,0,0,0.0,2017-12
2017-12-20,0,0,0,0,0.0,2017-12
2017-12-21,0,0,0,0,0.0,2017-12
2017-12-22,0,0,0,0,0.0,2017-12
2017-12-23,0,0,0,0,0.0,2017-12
2017-12-24,0,0,0,0,0.0,2017-12
2017-12-25,0,0,0,0,0.0,2017-12
2017-12-26,0,0,0,0,0.0,2017-12
2017-12-27,0,0,0,0,0.0,2017-12
2017-12-28,0,0,0,0,0.0,2017-12
2017-12-29,0,0,0,0,0.0,2017-12
2017-12-30,0,0,0,0,0.0,2017-12
2017-12-31,0,0,0,0,0.0,2017-12
2018-01-01,0,0,0,0,0.0,2018-01
2018-01-02,0,0,0,0,0.0,2018-01
2018-01-03,0,0,0,0,0.0,2018-01
2018-01-04,0,0,0,0,0.0,2018-01
2018-01-05,0,0,0,0,0.0,2018-01
2018-01-06,0,0,0,0,0.0,2018-01
2018-01-07,0,0,0,0,0.0,2018-01
2018-01-08,2,1,2,7,15.64,2018-01
2018-01-09,0,0,0,0,0.0,2018-01
2018-01-10,0,0,0,0,0.0,2018-01
2018-01-11,0,0,0,0,0.0,2018-01
2018-01-12,9,2,8,85,47.15,2018-01
2018-01-13,0,0,0,0,0.0,2018-01
2018-01-14,0,0,0,0,0.0,2018-01
2018-01-15,0,0,0,0,0.0,2018-01
2018-01-16,0,0,0,0,0.0,2018-01
2018-01-17,0,0,0,0,0.0,2018-01
2018-01-18,0,0,0,0,0.0,2018-01
2018-01-19,49,2,48,484,90.42,2018-01
2018-01-20,0,0,0,0,0.0,2018-01
2018-01-21,0,0,0,0,0.0,2018-01
2018-01-22,0,0,0,0,0.0,2018-01
2018-01-23,91,2,90,966,184.24,2018-01
2018-01-24,0,0,0,0,0.0,2018-01
2018-01-25,0,0,0,0,0.0,2018-01
2018-01-26,0,0,0,0,0.0,2018-01
2018-01-27,0,0,0,0,0.0,2018-01
2018-01-28,0,0,0,0,0.0,2018-01
2018-01-29,0,0,0,0,0.0,2018-01
2018-01-30,0,0,0,0,0.0,2018-01
2018-01-31,9,1,9,66,41.5,2018-01
2018-02-01,0,0,0,0,0.0,2018-02
2018-02-02,0,0,0,0,0.0,2018-02
2018-02-03,0,0,0,0,0.0,2018-02
2018-02-04,0,0,0,0,0.0,2018-02
2018-02-05,0,0,0,0,0.0,2018-02
2018-02-06,0,0,0,0,0.0,2018-02
2018-02-07,0,0,0,0,0.0,2018-02
2018-02-08,0,0,0,0,0.0,2018-02
2018-02-09,0,0,0,0,0.0,2018-02
2018-02-10,0,0,0,0,0.0,2018-02
2018-02-11,0,0,0,0,0.0,2018-02
2018-02-12,0,0,0,0,0.0,2018-02
2018-02-13,0,0,0,0,0.0,2018-02
2018-02-14,0,0,0,0,0.0,2018-02
2018-02-15,59,4,58,681,1091.5300000000002,2018-02
2018-02-16,0,0,0,0,0.0,2018-02
2018-02-17,0,0,0,0,0.0,2018-02
2018-02-18,0,0,0,0,0.0,2018-02
2018-02-19,0,0,0,0,0.0,2018-02
2018-02-20,0,0,0,0,0.0,2018-02
2018-02-21,4,1,4,35,10.169999999999998,2018-02
2018-02-22,0,0,0,0,0.0,2018-02
2018-02-23,29,4,28,76,71.84,2018-02
2018-02-24,0,0,0,0,0.0,2018-02
2018-02-25,0,0,0,0,0.0,2018-02
2018-02-26,1,1,1,4,2.1,2018-02
2018-02-27,19,1,19,235,23.669999999999998,2018-02
2018-02-28,0,0,0,0,0.0,2018-02
2018-03-01,0,0,0,0,0.0,2018-03
2018-03-02,0,0,0,0,0.0,2018-03
2018-03-03,0,0,0,0,0.0,2018-03
2018-03-04,0,0,0,0,0.0,2018-03
2018-03-05,10,1,10,101,27.700000000000003,2018-03
2018-03-06,0,0,0,0,0.0,2018-03
2018-03-07,0,0,0,0,0.0,2018-03
2018-03-08,24,1,24,261,69.55,2018-03
2018-03-09,32,3,32,394,88.98,2018-03
2018-03-10,0,0,0,0,0.0,2018-03
2018-03-11,29,1,29,343,53.81,2018-03
2018-03-12,1,1,1,24,1.65,2018-03
2018-03-13,0,0,0,0,0.0,2018-03
2018-03-14,0,0,0,0,0.0,2018-03
2018-03-15,0,0,0,0,0.0,2018-03
2018-03-16,0,0,0,0,0.0,2018-03
2018-03-17,0,0,0,0,0.0,2018-03
2018-03-18,7,1,7,56,26.699999999999996,2018-03
2018-03-19,0,0,0,0,0.0,2018-03
2018-03-20,0,0,0,0,0.0,2018-03
2018-03-21,0,0,0,0,0.0,2018-03
2018-03-22,7,1,7,59,33.940000000000005,2018-03
2018-03-23,58,7,55,708,530.12,2018-03
2018-03-24,0,0,0,0,0.0,2018-03
2018-03-25,0,0,0,0,0.0,2018-03
2018-03-26,0,0,0,0,0.0,2018-03
2018-03-27,0,0,0,0,0.0,2018-03
2018-03-28,0,0,0,0,0.0,2018-03
2018-03-29,31,1,31,323,44.96,2018-03
2018-03-30,0,0,0,0,0.0,2018-03
2018-03-31,0,0,0,0,0.0,2018-03
2018-04-01,0,0,0,0,0.0,2018-04
2018-04-02,0,0,0,0,0.0,2018-04
2018-04-03,0,0,0,0,0.0,2018-04
2018-04-04,0,0,0,0,0.0,2018-04
2018-04-05,13,1,13,136,34.400000000000006,2018-04
2018-04-06,18,1,18,145,55.800000000000004,2018-04
2018-04-07,0,0,0,0,0.0,2018-04
2018-04-08,0,0,0,0,0.0,2018-04
2018-04-09,0,0,0,0,0.0,2018-04
2018-04-10,12,1,12,102,42.150000000000006,2018-04
2018-04-11,0,0,0,0,0.0,2018-04
2018-04-12,0,0,0,0,0.0,2018-04
2018-04-13,27,1,27,258,70.99999999999999,2018-04
2018-04-14,0,0,0,0,0.0,2018-04
2018-04-15,9,1,9,68,32.79,2018-04
2018-04-16,0,0,0,0,0.0,2018-04
2018-04-17,20,1,20,152,60.74,2018-04
2018-04-18,0,0,0,0,0.0,2018-04
2018-04-19,16,2,15,66,45.75,2018-04
2018-04-20,0,0,0,0,0.0,2018-04
2018-04-21,0,0,0,0,0.0,2018-04
2018-04-22,0,0,0,0,0.0,2018-04
2018-04-23,0,0,0,0,0.0,2018-04
2018-04-24,0,0,0,0,0.0,2018-04
2018-04-25,0,0,0,0,0.0,2018-04
2018-04-26,0,0,0,0,0.0,2018-04
2018-04-27,37,1,37,289,371.9100000000001,2018-04
2018-04-28,0,0,0,0,0.0,2018-04
2018-04-29,4,1,4,28,19.95,2018-04
2018-04-30,0,0,0,0,0.0,2018-04
2018-05-01,0,0,0,0,0.0,2018-05
2018-05-02,0,0,0,0,0.0,2018-05
2018-05-03,113,3,87,1521,243.51999999999998,2018-05
2018-05-04,0,0,0,0,0.0,2018-05
2018-05-05,0,0,0,0,0.0,2018-05
2018-05-06,0,0,0,0,0.0,2018-05
2018-05-07,14,1,14,169,38.1,2018-05
2018-05-08,0,0,0,0,0.0,2018-05
2018-05-09,0,0,0,0,0.0,2018-05
2018-05-10,0,0,0,0,0.0,2018-05
2018-05-11,0,0,0,0,0.0,2018-05
2018-05-12,0,0,0,0,0.0,2018-05
2018-05-13,28,1,28,330,38.84,2018-05
2018-05-14,0,0,0,0,0.0,2018-05
2018-05-15,0,0,0,0,0.0,2018-05
2018-05-16,0,0,0,0,0.0,2018-05
2018-05-17,0,0,0,0,0.0,2018-05
2018-05-18,0,0,0,0,0.0,2018-05
2018-05-19,0,0,0,0,0.0,2018-05
2018-05-20,0,0,0,0,0.0,2018-05
2018-05-21,73,1,73,661,201.20000000000002,2018-05
2018-05-22,50,1,50,470,112.63999999999999,2018-05
2018-05-23,0,0,0,0,0.0,2018-05
2018-05-24,0,0,0,0,0.0,2018-05
2018-05-25,0,0,0,0,0.0,2018-05
2018-05-26,0,0,0,0,0.0,2018-05
2018-05-27,0,0,0,0,0.0,2018-05
2018-05-28,0,0,0,0,0.0,2018-05
2018-05-29,0,0,0,0,0.0,2018-05
2018-05-30,0,0,0,0,0.0,2018-05
2018-05-31,73,2,69,540,216.43,2018-05
2018-06-01,0,0,0,0,0.0,2018-06
2018-06-02,0,0,0,0,0.0,2018-06
2018-06-03,0,0,0,0,0.0,2018-06
2018-06-04,0,0,0,0,0.0,2018-06
2018-06-05,0,0,0,0,0.0,2018-06
2018-06-06,0,0,0,0,0.0,2018-06
2018-06-07,0,0,0,0,0.0,2018-06
2018-06-08,0,0,0,0,0.0,2018-06
2018-06-09,0,0,0,0,0.0,2018-06
2018-06-10,0,0,0,0,0.0,2018-06
2018-06-11,0,0,0,0,0.0,2018-06
2018-06-12,0,0,0,0,0.0,2018-06
2018-06-13,0,0,0,0,0.0,2018-06
2018-06-14,0,0,0,0,0.0,2018-06
2018-06-15,50,2,47,489,125.47,2018-06
2018-06-16,0,0,0,0,0.0,2018-06
2018-06-17,0,0,0,0,0.0,2018-06
2018-06-18,0,0,0,0,0.0,2018-06
2018-06-19,8,2,8,54,40.8,2018-06
2018-06-20,0,0,0,0,0.0,2018-06
2018-06-21,0,0,0,0,0.0,2018-06
2018-06-22,0,0,0,0,0.0,2018-06
2018-06-23,0,0,0,0,0.0,2018-06
2018-06-24,0,0,0,0,0.0,2018-06
2018-06-25,76,3,75,851,169.65999999999997,2018-06
2018-06-26,10,1,10,75,33.849999999999994,2018-06
2018-06-27,0,0,0,0,0.0,2018-06
