date,purchases,invoices,streams,views,revenue,year_month
2017-11-28,2953,154,1291,12922,13281.12,2017-11
2017-11-29,3217,125,1389,13650,13222.970000000001,2017-11
2017-11-30,2911,144,1318,15243,12941.5,2017-11
2017-12-01,2443,100,1221,11652,9163.07,2017-12
2017-12-02,370,31,263,3101,1263.28,2017-12
2017-12-03,1888,87,964,8096,6229.110000000001,2017-12
2017-12-04,2684,110,1301,11202,12189.79,2017-12
2017-12-05,2283,157,1151,11906,8892.27,2017-12
2017-12-06,2423,108,1292,10071,10886.990000000002,2017-12
2017-12-07,2403,116,1192,11572,10651.380000000001,2017-12
2017-12-08,1535,117,875,7902,4864.07,2017-12
2017-12-09,0,0,0,0,0.0,2017-12
2017-12-10,1678,71,935,7685,4568.2,2017-12
2017-12-11,3851,113,1568,14845,19097.67,2017-12
2017-12-12,1896,119,1000,10331,9518.670000000002,2017-12
2017-12-13,3137,101,1409,13689,15610.17,2017-12
2017-12-14,1944,157,1062,9346,6003.74,2017-12
2017-12-15,1732,71,1011,6557,9560.02,2017-12
2017-12-16,0,0,0,0,0.0,2017-12
2017-12-17,573,37,418,3381,1811.51,2017-12
2017-12-18,576,49,427,2473,2650.7099999999996,2017-12
2017-12-19,2032,202,1136,5056,13254.54,2017-12
2017-12-20,328,29,286,1089,1580.29,2017-12
2017-12-21,0,0,0,0,0.0,2017-12
2017-12-22,0,0,0,0,0.0,2017-12
2017-12-23,0,0,0,0,0.0,2017-12
2017-12-24,0,0,0,0,0.0,2017-12
2017-12-25,0,0,0,0,0.0,2017-12
2017-12-26,0,0,0,0,0.0,2017-12
2017-12-27,0,0,0,0,0.0,2017-12
2017-12-28,0,0,0,0,0.0,2017-12
2017-12-29,0,0,0,0,0.0,2017-12
2017-12-30,0,0,0,0,0.0,2017-12
2017-12-31,0,0,0,0,0.0,2017-12
2018-01-01,663,68,520,2993,1936.26,2018-01
2018-01-02,938,46,634,5603,3061.2700000000004,2018-01
2018-01-03,294,14,250,1994,965.85,2018-01
2018-01-04,846,78,586,6108,2777.0200000000004,2018-01
2018-01-05,533,41,380,3793,1893.67,2018-01
2018-01-06,0,0,0,0,0.0,2018-01
2018-01-07,676,36,475,4464,1969.56,2018-01
2018-01-08,2605,63,1057,7931,12781.81,2018-01
2018-01-09,1017,60,730,4806,3535.13,2018-01
2018-01-10,1552,51,892,5034,7670.26,2018-01
2018-01-11,2141,83,1022,8905,11974.44,2018-01
2018-01-12,554,45,375,3715,1699.27,2018-01
2018-01-13,0,0,0,0,0.0,2018-01
2018-01-14,1116,41,684,5700,3438.31,2018-01
2018-01-15,1879,48,993,5934,8679.83,2018-01
2018-01-16,1639,44,990,7538,7036.981,2018-01
2018-01-17,1207,74,809,5001,4729.539999999999,2018-01
2018-01-18,1095,85,712,5824,3402.0599999999995,2018-01
2018-01-19,1186,66,766,5568,5207.34,2018-01
2018-01-20,0,0,0,0,0.0,2018-01
2018-01-21,1231,51,685,5560,3918.16,2018-01
2018-01-22,1650,69,905,7339,6752.710000000001,2018-01
2018-01-23,1345,124,783,5821,12331.510000000002,2018-01
2018-01-24,1443,82,835,6878,6081.76,2018-01
2018-01-25,1182,78,724,7277,3580.92,2018-01
2018-01-26,1207,81,717,6180,23937.591,2018-01
2018-01-27,0,0,0,0,0.0,2018-01
2018-01-28,1244,53,723,6146,3462.62,2018-01
2018-01-29,1258,71,795,5185,5286.951,2018-01
2018-01-30,1040,53,670,5982,2957.9,2018-01
2018-01-31,1442,143,899,6276,5672.790999999999,2018-01
2018-02-01,1551,139,878,7915,4645.719999999999,2018-02
2018-02-02,1030,145,686,5383,4173.33,2018-02
2018-02-03,0,0,0,0,0.0,2018-02
2018-02-04,742,31,517,2761,2059.98,2018-02
2018-02-05,1204,64,738,5245,4642.32,2018-02
2018-02-06,784,47,543,4454,2815.79,2018-02
2018-02-07,861,35,617,2764,3983.1600000000003,2018-02
2018-02-08,766,92,504,3959,2480.81,2018-02
2018-02-09,757,70,583,3570,2792.8100000000004,2018-02
2018-02-10,0,0,0,0,0.0,2018-02
2018-02-11,1157,49,698,6119,3437.55,2018-02
2018-02-12,710,46,459,5475,2084.4410000000003,2018-02
2018-02-13,1879,105,1073,8774,7831.5999999999985,2018-02
2018-02-14,945,58,618,5964,2971.8900000000003,2018-02
2018-02-15,1319,84,765,7601,3905.03,2018-02
2018-02-16,1634,64,923,5494,7938.450000000001,2018-02
2018-02-17,0,0,0,0,0.0,2018-02
2018-02-18,931,58,598,3924,3171.4010000000003,2018-02
2018-02-19,1070,79,668,7473,3491.99,2018-02
2018-02-20,1092,75,721,5877,3843.9399999999996,2018-02
2018-02-21,1201,113,775,5321,4674.941000000001,2018-02
2018-02-22,1531,88,861,9235,5088.370000000001,2018-02
2018-02-23,999,61,695,4627,7474.590999999999,2018-02
2018-02-24,0,0,0,0,0.0,2018-02
2018-02-25,1251,55,726,5318,3800.09,2018-02
2018-02-26,1162,93,775,6374,4292.200000000001,2018-02
2018-02-27,1480,129,927,6471,6257.639999999999,2018-02
2018-02-28,1597,71,962,8869,5528.22,2018-02
2018-03-01,1801,95,971,10659,7018.009999999999,2018-03
2018-03-02,1133,77,705,5336,4574.2,2018-03
2018-03-03,0,0,0,0,0.0,2018-03
2018-03-04,1675,65,1028,7347,5884.59,2018-03
2018-03-05,1866,100,1036,8016,9343.65,2018-03
2018-03-06,1153,97,749,6259,6179.93,2018-03
2018-03-07,1525,77,909,7997,5986.6,2018-03
2018-03-08,1295,75,855,6396,5351.31,2018-03
2018-03-09,821,46,612,4337,3330.48,2018-03
2018-03-10,0,0,0,0,0.0,2018-03
2018-03-11,640,24,436,2621,1763.77,2018-03
2018-03-12,1550,73,933,5966,7081.8009999999995,2018-03
2018-03-13,1335,86,808,6804,5005.5,2018-03
2018-03-14,1226,52,749,7133,4041.67,2018-03
2018-03-15,1401,91,790,8140,5826.539999999999,2018-03
2018-03-16,1288,82,715,6393,13837.489999999996,2018-03
2018-03-17,0,0,0,0,0.0,2018-03
2018-03-18,1367,62,791,6689,3901.4700000000003,2018-03
2018-03-19,1462,99,866,7552,6293.400000000001,2018-03
2018-03-20,1265,76,736,6213,52280.04,2018-03
2018-03-21,1391,102,804,7029,6807.48,2018-03
2018-03-22,1692,100,885,8640,18308.93,2018-03
2018-03-23,1186,74,784,5995,4234.21,2018-03
2018-03-24,0,0,0,0,0.0,2018-03
2018-03-25,1838,60,904,9368,4761.23,2018-03
2018-03-26,1968,94,1028,9488,8582.63,2018-03
2018-03-27,1799,103,989,9317,7089.4,2018-03
2018-03-28,1890,85,954,8976,7832.740000000001,2018-03
2018-03-29,1525,105,883,7777,6173.91,2018-03
2018-03-30,0,0,0,0,0.0,2018-03
2018-03-31,0,0,0,0,0.0,2018-03
2018-04-01,0,0,0,0,0.0,2018-04
2018-04-02,0,0,0,0,0.0,2018-04
2018-04-03,1092,66,694,5547,3815.88,2018-04
2018-04-04,1273,63,806,6649,4675.700000000001,2018-04
2018-04-05,1963,92,1003,10736,7155.57,2018-04
2018-04-06,795,52,545,4327,3124.4300000000003,2018-04
2018-04-07,0,0,0,0,0.0,2018-04
2018-04-08,1030,41,625,5379,2992.37,2018-04
2018-04-09,859,76,550,5430,2668.16,2018-04
2018-04-10,1236,86,729,5945,4001.2200000000003,2018-04
2018-04-11,986,58,577,6374,3009.92,2018-04
2018-04-12,1135,87,648,7243,24186.76,2018-04
2018-04-13,743,43,528,4618,2220.37,2018-04
