date,purchases,invoices,streams,views,revenue,year_month
2017-11-28,3203,162,1342,14948,14139.140000000001,2017-11
2017-11-29,3271,130,1397,14135,13396.92,2017-11
2017-11-30,2980,149,1331,15560,13250.07,2017-11
2017-12-01,2515,105,1246,12180,9517.35,2017-12
2017-12-02,370,31,263,3101,1263.28,2017-12
2017-12-03,1924,89,973,8421,6354.6900000000005,2017-12
2017-12-04,2826,121,1334,12350,13023.36,2017-12
2017-12-05,2419,167,1190,12474,9358.97,2017-12
2017-12-06,2467,112,1307,10493,11263.689999999999,2017-12
2017-12-07,2430,119,1197,11688,10816.89,2017-12
2017-12-08,1542,121,876,7922,4898.32,2017-12
2017-12-09,0,0,0,0,0.0,2017-12
2017-12-10,1772,76,980,8490,4931.98,2017-12
2017-12-11,4046,120,1585,16576,19604.760000000002,2017-12
2017-12-12,1996,121,1029,11064,9954.25,2017-12
2017-12-13,3193,103,1416,14124,15800.83,2017-12
2017-12-14,1950,161,1063,9389,7623.66,2017-12
2017-12-15,1963,82,1080,8432,10515.02,2017-12
2017-12-16,0,0,0,0,0.0,2017-12
2017-12-17,637,40,468,4013,1964.7900000000002,2017-12
2017-12-18,645,52,467,3212,2846.58,2017-12
2017-12-19,2032,202,1136,5056,13254.54,2017-12
2017-12-20,540,32,377,3028,2268.31,2017-12
2017-12-21,0,0,0,0,0.0,2017-12
2017-12-22,0,0,0,0,0.0,2017-12
2017-12-23,0,0,0,0,0.0,2017-12
2017-12-24,0,0,0,0,0.0,2017-12
2017-12-25,0,0,0,0,0.0,2017-12
2017-12-26,0,0,0,0,0.0,2017-12
2017-12-27,0,0,0,0,0.0,2017-12
2017-12-28,0,0,0,0,0.0,2017-12
2017-12-29,0,0,0,0,0.0,2017-12
2017-12-30,0,0,0,0,0.0,2017-12
2017-12-31,0,0,0,0,0.0,2017-12
2018-01-01,668,70,521,3005,1966.55,2018-01
2018-01-02,938,46,634,5603,3061.2700000000004,2018-01
2018-01-03,294,14,250,1994,965.85,2018-01
2018-01-04,1061,86,695,8495,3347.11,2018-01
2018-01-05,691,48,484,5263,4858.530000000001,2018-01
2018-01-06,0,0,0,0,0.0,2018-01
2018-01-07,704,37,489,4702,2080.1000000000004,2018-01
2018-01-08,2644,71,1067,8161,14330.880000000001,2018-01
2018-01-09,1106,64,775,5677,3794.58,2018-01
2018-01-10,1643,63,926,5703,11590.86,2018-01
2018-01-11,2188,86,1040,9239,12129.36,2018-01
2018-01-12,571,49,387,3826,1769.69,2018-01
2018-01-13,0,0,0,0,0.0,2018-01
2018-01-14,1116,41,684,5700,3438.31,2018-01
2018-01-15,1881,49,994,5940,8686.529999999999,2018-01
2018-01-16,1765,49,1041,8454,7499.8009999999995,2018-01
2018-01-17,1215,79,810,5042,7006.56,2018-01
2018-01-18,1169,86,757,6583,3649.69,2018-01
2018-01-19,1520,77,888,8369,9419.02,2018-01
2018-01-20,0,0,0,0,0.0,2018-01
2018-01-21,1271,52,706,5892,4022.2299999999996,2018-01
2018-01-22,1684,71,914,7533,6933.53,2018-01
2018-01-23,1571,160,853,7923,15113.259999999998,2018-01
2018-01-24,1505,83,866,7234,6189.6,2018-01
2018-01-25,1253,82,751,7821,3796.1899999999996,2018-01
2018-01-26,1209,82,718,6193,23966.841,2018-01
2018-01-27,0,0,0,0,0.0,2018-01
2018-01-28,1392,56,795,7421,3858.11,2018-01
2018-01-29,1342,78,818,5960,5613.861,2018-01
2018-01-30,1148,59,723,6984,4504.33,2018-01
2018-01-31,1486,149,915,6650,5821.9310000000005,2018-01
2018-02-01,1569,142,888,8068,4745.1,2018-02
2018-02-02,1077,147,710,5556,4328.16,2018-02
2018-02-03,0,0,0,0,0.0,2018-02
2018-02-04,833,34,555,3716,2274.51,2018-02
2018-02-05,1287,70,778,5867,5720.59,2018-02
2018-02-06,1033,57,656,6792,3477.63,2018-02
2018-02-07,880,37,625,2933,4066.5399999999995,2018-02
2018-02-08,851,100,549,4570,2827.76,2018-02
2018-02-09,823,74,611,4149,3009.1200000000003,2018-02
2018-02-10,0,0,0,0,0.0,2018-02
2018-02-11,1179,50,708,6334,3527.24,2018-02
2018-02-12,770,50,497,5836,2274.931,2018-02
2018-02-13,1935,108,1094,9021,7980.629999999999,2018-02
2018-02-14,1048,62,675,6877,3359.6400000000003,2018-02
2018-02-15,1390,91,788,8389,5028.67,2018-02
2018-02-16,1634,64,923,5494,7938.450000000001,2018-02
2018-02-17,0,0,0,0,0.0,2018-02
2018-02-18,970,59,612,4219,3350.251,2018-02
2018-02-19,1083,82,673,7609,3558.1800000000003,2018-02
2018-02-20,1175,85,757,6528,4146.87,2018-02
2018-02-21,1325,118,831,6263,5112.880999999999,2018-02
2018-02-22,1561,91,870,9503,5217.1,2018-02
2018-02-23,1028,65,704,4703,7546.4310000000005,2018-02
2018-02-24,0,0,0,0,0.0,2018-02
2018-02-25,1293,58,739,5616,3960.79,2018-02
2018-02-26,1215,96,797,6882,4443.67,2018-02
2018-02-27,1619,137,976,7563,6904.3099999999995,2018-02
2018-02-28,1750,82,1021,10298,5955.530000000001,2018-02
2018-03-01,1880,98,988,11295,7356.500000000001,2018-03
2018-03-02,1200,83,742,5990,4779.120000000001,2018-03
2018-03-03,0,0,0,0,0.0,2018-03
2018-03-04,1802,67,1083,8424,6232.910000000001,2018-03
2018-03-05,1911,106,1047,8363,9495.81,2018-03
2018-03-06,1237,104,779,6950,6655.68,2018-03
2018-03-07,1588,82,930,8380,6269.71,2018-03
